NU_INS_ESC_PUBLICA,NU_INS_ESC_PRIVADA,NU_INS_ESC_GERAL,ANO
1198488,337534,1536022,2009
1116988,262448,1379436,2010
988016,215446,1203462,2011
1227290,298591,1525881,2012
1323178,312670,1635848,2013
1376998,381353,1758351,2014
1344894,304364,1649258,2015
1561863,319360,1881223,2016
1488665,297216,1785881,2017
1196981,251835,1448816,2018
983058,164329,1147387,2019
685864,218705,904569,2020
603041,210765,813806,2021
